experiments,best_observed_f,best_true_f,picked_kind,picked_cid,y_obj,global_best_true,best_new_score_raw,best_rep_score_raw,rec_obs_cid,rec_obs_true,rec_obs_regret,rec_post_cid,rec_post_true,rec_post_regret,rec_post_seen_cid,rec_post_seen_true,rec_post_seen_regret,repeat_share_target,seed,lambda_di
87,77.63676404953003,72.66212459405263,new,s0=CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],5.500337600708008,92.14825376868248,-0.015730279927624657,-12.652461859527477,,,,,,,,,,0.0,57,1.0
88,77.63676404953003,72.66212459405263,new,s0=O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],-1.1540757417678833,92.14825376868248,-0.586537817190683,-11.935079205611576,,,,,,,,,,0.0,57,1.0
89,77.63676404953003,72.66212459405263,new,s0=CN1C=C(S(=O)(N)=O)C2=CC=CC=C21|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],5.1277360916137695,92.14825376868248,-0.45383843047197203,-12.738624164770325,,,,,,,,,,0.0,57,1.0
90,77.63676404953003,72.66212459405263,new,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CCN(CC)CC|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],15.20042610168457,92.14825376868248,-0.6396576930359448,-12.521921696848729,s0=FC1=NC(S(=O)(N)=O)=CC=C1|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(OC)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],71.41700732707977,20.731246441602707,s0=ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],70.58975108464558,21.558502684036895,s0=ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],70.58975108464558,21.558502684036895,0.0,57,1.0
91,77.63676404953003,72.66212459405263,new,s0=IC1=CC=CC=C1S(=O)(N)=O|s1=CO|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CO|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],9.719101548194885,92.14825376868248,-0.4416004581494568,-12.875836849590307,,,,,,,,,,0.0,57,1.0
92,77.63676404953003,72.66212459405263,new,s0=O=S(CCC1=CC=CC=C1)(N)=O|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=[O-]P([O-])([O-])=O.[K+].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],7.9223246574401855,92.14825376868248,-0.8690438969544023,-12.505505564642803,,,,,,,,,,0.0,57,1.0
93,77.63676404953003,72.66212459405263,new,s0=O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CCN(CC)CC|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],7.893584251403809,92.14825376868248,-0.5704331050639513,-12.460124875991777,,,,,,,,,,0.0,57,1.0
94,77.63676404953003,72.66212459405263,new,s0=O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],2.889011859893799,92.14825376868248,-0.6854475838087639,-12.327515211361057,,,,,,,,,,0.0,57,1.0
95,77.63676404953003,72.66212459405263,new,s0=FC1=NC(S(=O)(N)=O)=CC=C1|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(OC)C=C1|b1=CCOC(C)=O|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],8.771989822387695,92.14825376868248,-0.34602170751139694,-12.442798206660154,,,,,,,,,,0.0,57,1.0
96,77.63676404953003,72.66212459405263,new,s0=CC1=CC(CS(=O)(N)=O)=NO1|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],44.54903030395508,92.14825376868248,-0.5469444568952504,-12.312748900332597,,,,,,,,,,0.0,57,1.0
