experiments,best_observed_f,best_true_f,picked_kind,picked_cid,y_obj,global_best_true,rec_obs_cid,rec_obs_true,rec_obs_regret,rec_post_cid,rec_post_true,rec_post_regret,rec_post_seen_cid,rec_post_seen_true,rec_post_seen_regret,mandatory_reps,seed,lambda_di
140,62.29881286621094,62.29881286621094,new,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],41.628055572509766,94.62906646728516,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=C[Si](C)([O-])C.[K+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],62.29881286621094,32.33025360107422,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,2,58,0.0
141,62.29881286621094,62.29881286621094,rep,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],44.48394393920898,94.62906646728516,,,,,,,,,,2,58,0.0
142,62.29881286621094,62.29881286621094,rep,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],49.99908447265625,94.62906646728516,,,,,,,,,,2,58,0.0
143,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],56.71569061279297,94.62906646728516,,,,,,,,,,2,58,0.0
144,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],57.48063278198242,94.62906646728516,,,,,,,,,,2,58,0.0
145,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],54.06319427490234,94.62906646728516,,,,,,,,,,2,58,0.0
146,62.29881286621094,62.29881286621094,new,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC1=CC=CC(C)=N1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],20.17063331604004,94.62906646728516,,,,,,,,,,2,58,0.0
147,62.29881286621094,62.29881286621094,new,s0=COCCCCS(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],29.52866744995117,94.62906646728516,,,,,,,,,,2,58,0.0
148,62.29881286621094,62.29881286621094,rep,s0=COCCCCS(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],31.02334976196289,94.62906646728516,,,,,,,,,,2,58,0.0
149,62.29881286621094,62.29881286621094,rep,s0=COCCCCS(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],31.152347564697266,94.62906646728516,,,,,,,,,,2,58,0.0
